id,area,title,cadence,owner_role,stale_after_days,description,recommended_action,buyer_impact_if_stale,evidence_reference_count
vendor-risk-review,vendor_risk,Vendor risk registry review,quarterly,platform,120,Walk every row in lib/enterprise/vendor-risk/vendor-registry.ts. Confirm DPA / SCC / SOC 2 evidence is current outside the repo. Update lastReviewedAt + assuranceStatus.,Run `npm run build:vendor-risk-pack` after editing; confirm the static pack matches the live admin export.,Procurement questionnaire answers may reference vendor posture that is no longer accurate.,3
subprocessor-disclosure-review,subprocessors,Subprocessor disclosure review,quarterly,platform,100,Verify the buyer-facing subprocessor list is current. Promote / demote disclosureStatus as relationships change. Confirm buyer-safe descriptions still match vendor behaviour.,Regenerate buyer subprocessor disclosure + Trust Center pack; share with active enterprise prospects per sub-processor change SLA.,Public Trust Center page + gated buyer disclosure may understate / overstate the production vendor set.,3
privacy-data-inventory-review,privacy_dsr,Privacy data inventory review,quarterly,platform,120,Walk every row in lib/enterprise/privacy/data-inventory.ts. Confirm source tables + sensitivity + vendor links match the current schema. Add rows for any new data categories.,Run `npm run build:privacy-pack` after editing; confirm the static pack matches the live admin export.,Privacy readiness exports may misstate the data categories processed.,2
retention-policy-review,retention_policy,Retention policy review,semiannual,legal,210,Confirm per-category retention windows still match operational + legal intent. Audit / abuse / SSO / incident sweepers are not yet wired — flag any tables that have grown materially.,"If a category needs a real sweeper, file a follow-up phase. Update the policy row and lastReviewedAt.",Retention answers in the security questionnaire may misstate the operative posture.,2
data-lifecycle-review,data_lifecycle,Data lifecycle (export / redact / DSR) review,semiannual,platform,210,"Spot-check operator data export, lead PII redaction, and DSR workflow end-to-end. Confirm no anonymous DSR intake has been introduced without an abuse plan.",Run an internal end-to-end DSR (test subject) and record the timeline in the calendar entry notes.,DSR workflow may have regressed without operator notice.,3
dr-dry-run,disaster_recovery,Disaster recovery dry-run,quarterly,owner,100,Run a tabletop or live restore drill against a Supabase clone project. Walk the docs/DISASTER-RECOVERY.md decision tree. Capture observed RTO / RPO + gaps.,File any gaps as SEV4 incidents via the IncidentResponseCard; update the DR runbook.,Buyer security review asking about last DR drill date will surface an out-of-date answer.,2
backup-posture-review,backup_posture,Backup posture review,monthly,platform,45,Open the BackupPostureCard. Confirm Management API token reachability + PITR retention target. Run `npm run check:backup-posture` if env vars are set.,Note any check that returned warning / critical. File incidents for repeated criticals.,Backup posture answers may not reflect the current Supabase plan / retention.,2
incident-tabletop,incident_response,Incident tabletop exercise,quarterly,platform,100,Pick a scenario from docs/INCIDENT-RESPONSE.md §2 examples. Walk through detection path → triage owner → alert posture → mitigation → resolution → PIR. Capture the exercise as a SEV4 row in IncidentResponseCard for traceability.,File gaps as follow-up SEV4 incidents with the policy + runbook references in `external_reference`.,"Buyer asks ""when was your last tabletop?"" — operator should be able to answer recently.",2
trust-center-public-copy-review,trust_center,Trust Center public copy review,monthly,platform,45,"Open /trust as an unauthenticated user. Confirm curated copy is current, public subprocessor list matches the registry, known limitations are accurate.",Edit PUBLIC_TRUST_SECTIONS / PUBLIC_KNOWN_LIMITATIONS as needed. Page revalidates every 5 minutes after deploy.,Public Trust Center may carry outdated security posture statements.,3
trust-center-gated-artifact-review,trust_center,Trust Center gated artifact review,monthly,platform,45,Run `npm run build:trust-center-pack` and review the standard + full packet markdown end-to-end. Verify gated artifacts still render the buyer-safe content from 9I–9M sources.,"If any artifact body has drifted, fix the source module then regenerate.",Buyer downloads from active grants may include stale artifact content.,3
security-questionnaire-review,security_questionnaire,Security questionnaire review,monthly,platform,45,Walk every answer in lib/enterprise/evidence/questionnaire-map.ts. Confirm statuses + shortAnswer + limitations reflect the current platform state.,Run `npm run build:questionnaire-pack` and diff the generated markdown against the previous version.,Pre-filled questionnaire responses to buyers may carry stale answers.,2
evidence-pack-regeneration,evidence_pack,Evidence pack regeneration,monthly,platform,45,Run `npm run build:evidence-pack` and review the static pack output. Confirm control statuses + limitations + recommendedNext fields are current.,Commit the regenerated artifacts/evidence/ directory if any content has changed.,Full-packet trust grants would include an out-of-date evidence map.,3
sso-readiness-review,sso_readiness,SSO readiness review,quarterly,platform,100,Inspect public.sso_connections + sso_login_events. Confirm placeholder adapter is still the right posture for the current customer mix. Update docs/SSO-READINESS.md if a real adapter is being wired.,"If a buyer requires real SAML/OIDC, file the SSO-WORKOS-ADAPTER follow-up phase.",SSO answer in the questionnaire may misrepresent live capability.,2
audit-coverage-review,audit_coverage,Audit coverage scanner review,monthly,platform,45,Run `npm run check:audit-coverage`. Confirm no new mutating routes have shipped without an audit row or AUDIT_EXEMPT marker.,Fill gaps in the offending route; record the policy event with the route path in notes.,Buyer security review may catch an audited-class write that lacks an audit row.,2
rate-limit-coverage-review,rate_limit_coverage,Rate-limit coverage scanner review,monthly,platform,45,Run `npm run check:rate-limit-coverage`. Confirm no new mutating / sensitive admin GET routes lack a limiter or RATE_LIMIT_EXEMPT marker.,Wire the limiter via lib/rate-limit-catalog.ts; record the route path in notes.,Abuse posture may have drifted; AbuseMonitorCard may understate exposure.,2
rbac-matrix-review,access_control,RBAC matrix review,quarterly,platform,100,Walk docs/RBAC-MATRIX.md against the current admin route surface. Confirm cross-tenant 404 collapse posture + owner-only mutation gates still apply.,Run `npm run check:cross-tenant-rbac` against the seeded test tenants when available.,RBAC questionnaire answers may understate / overstate the gate.,3
security-headers-review,security_headers,Security headers + CSP review,quarterly,platform,100,Inspect next.config.js headers + CSP report endpoint output. Confirm HSTS + Permissions-Policy + Content-Security-Policy targets still match policy.,Spot-check production response headers via curl. Tighten CSP report-only directives if a known noisy source is now silent.,Browser security questionnaire answer may overstate the live header posture.,2
