section,question_id,question,status,short_answer
Company / Product Security Overview,soc2-certification,Is your product SOC 2 certified?,no,VenueRise is not currently SOC 2 certified. The platform organizes its existing controls into a SOC 2-style evidence map (docs/SOC2-EVIDENCE-MAP.md) and exposes an internal evidence report endpoint for security reviewers. Formal certification requires an auditor engagement + observation period; that has not happened yet.
Company / Product Security Overview,product-security-overview,Provide a short overview of your product security posture.,partial,Every sensitive write produces a structured audit row (Phase 9A) with sanitized snapshots. Every mutating route is role-gated + rate-limited (Phase 9B/9F). Tamper-evidence mirror table (Phase 9C). Data export + PII redaction (Phase 9D). Security headers + CSP report-only telemetry (Phase 9E). Abuse monitoring (Phase 9F). SSO readiness scaffold (Phase 9G — vendor adapter pending). Backup posture + non-destructive restore-intent audit (Phase 9H). Consolidated evidence center (Phase 9I).
Access Control,rbac-implementation,Does your platform enforce role-based access control across all administrative routes?,yes,"Yes. Every API route enforces a role gate (requireAdmin / requireVenueRole) with documented role sets (owner, admin, sales_manager, coordinator, viewer). Per-route matrix in docs/RBAC-MATRIX.md."
Access Control,tenant-isolation,How is data isolated between tenants?,yes,Every table that holds tenant data carries venue_id with row-level security policies. Cross-tenant access attempts return 404 (not 403) to prevent venue enumeration. An operator-run cross-tenant probe (scripts/check-cross-tenant-rbac.mjs) verifies the 403→404 collapse across 8 representative routes.
Access Control,least-privilege,Are administrative actions restricted to least-privilege roles?,yes,"Billing-class actions (SSO connection management, restore intents) require strict owner role, not admin. Application-layer gate + RLS policies enforce independently. Documented in docs/RBAC-MATRIX.md."
Authentication / SSO,primary-auth,How do users authenticate today?,yes,Email/password and magic-link authentication via Supabase Auth. Session cookies are HTTP-only + Secure in production.
Authentication / SSO,mfa-support,Is multi-factor authentication supported?,planned,MFA support relies on Supabase Auth + the chosen identity provider; native enrollment UI inside VenueRise is on the roadmap. Customers requiring MFA today should enforce it via their SSO IDP once SSO is wired (Phase 9G readiness).
Authentication / SSO,sso-saml-oidc,Do you support SAML or OIDC SSO?,partial,"SSO scaffolding is in place — connection management, audit feed, owner-only mutations, vendor adapter interface (WorkOS / Clerk / Stytch / Supabase SSO / custom OIDC). The real SAML/OIDC exchange is wired vendor-by-vendor per buyer requirement; today the adapter resolves to a placeholder returning structured "
Authentication / SSO,scim-provisioning,Do you support SCIM provisioning?,planned,SCIM provisioning is on the SSO roadmap. The connection row carries a SCIM-enabled flag; the endpoint is not mounted yet. Documented in docs/SSO-READINESS.md.
Audit Logging,audit-coverage,Are administrative actions logged to an audit trail?,yes,"Every sensitive write produces a structured audit row in public.audit_events with sanitized before/after snapshots, salted-SHA-256 IP fingerprint, request id, and actor identity. A regression scanner (npm run check:audit-coverage) asserts every mutating route is instrumented or carries an explicit exemption marker."
Audit Logging,audit-tamper-evidence,How are audit logs protected against tampering?,partial,"A mirror table (public.audit_event_mirror) receives a copy of every audit_events row with owner-only SELECT and no RLS write policies — the REST surface cannot mutate the mirror. This is tamper-EVIDENCE, not tamper-PROOF; an admin with direct DB access can still delete rows. A future phase may add an external append-only sink for compliance contexts."
Audit Logging,audit-retention,How long are audit logs retained?,manual,audit_events rows are retained indefinitely today; manual purge via SQL editor only. The DataLifecycleCard on /dashboard/settings/billing surfaces the current retention posture. A future phase will apply the existing digest-retention sweeper pattern.
Audit Logging,audit-access,Who can access audit logs?,yes,Owner + admin roles can read audit_events for their venue via RLS. The mirror table is owner-only SELECT. Both surfaces have CSV export. No public access. No raw IPs are ever stored.
Monitoring / Abuse Detection,rate-limiting,Are all mutating endpoints rate-limited?,yes,Yes. Every mutating + sensitive admin GET route calls a rateLimit* wrapper or carries an explicit exemption marker. Coverage is enforced by a static scanner (npm run check:rate-limit-coverage). Catalog of canonical keys in lib/rate-limit-catalog.ts.
Monitoring / Abuse Detection,abuse-detection,How do you detect and surface abuse?,yes,"Every rate-limit block writes a row in public.abuse_events (Phase 9F). The AbuseMonitorCard on /dashboard/settings/billing surfaces top routes, reasons, and limiter keys per venue. CSV export for security reviewers."
Monitoring / Abuse Detection,health-monitoring,How is platform health monitored?,yes,A /api/health endpoint exposes named feature flags and rate-limiter status. External monitors alert on flag drift or missing surfaces. The ADMIN_ENDPOINT_COUNT constant tracks the admin route surface; alerts fire when post-deploy count changes unexpectedly.
Rate Limiting,rate-limit-strategy,What is your rate-limit strategy?,yes,"Upstash Redis sliding-window with per-bucket budgets: widget (10/min/IP+venue), AI generation (60/min/user-resource), user actions (30/min/user), CSP report (60/min/IP), SSO auth (10/min/IP+domain). When Upstash env is unset the limiter fails open + logs; production deploys are alerted via /api/health."
Data Protection,data-at-rest,Is data encrypted at rest?,yes,Supabase Postgres provides AES-256 encryption at rest at the storage layer. Vendor attestation is available from Supabase under their compliance program.
Data Protection,data-in-transit,Is data encrypted in transit?,yes,"HTTPS enforced via HSTS in production (max-age 2 years, includeSubDomains, preload). All vendor API calls (Supabase, Stripe, Resend, Anthropic) are TLS-only."
Data Protection,pii-handling,How is customer PII handled?,partial,"Lead-level PII (name, email, phone, notes) supports soft redaction via /api/admin/leads/[leadId]/redact-pii while preserving operational history. Audit snapshots are sanitized at write time — sensitive keys (password, secret, token, etc.) are recursively dropped and snapshots are capped at 4 KB. No raw IPs are stored anywhere; the salted-SHA-256 fingerprint is used instead."
Data Protection,data-export,Can customers export their data?,yes,"Owner/admin can export the full venue-scoped dataset (leads, conversations, messages, tours, ai_actions, optional audit_events) as JSON via POST /api/admin/data-export. The DataLifecycleCard on /dashboard/settings/billing surfaces the export button. Cap 8 MB inline; oversize export path is on the roadmap."
Backup / Disaster Recovery,backup-strategy,What is your backup strategy?,yes,"Daily managed backups with point-in-time recovery via Supabase. RTO target 4 hours, RPO target 24 hours, retention floor 7 days. The BackupPostureCard surfaces policy targets + a per-check breakdown. Live PITR verification depends on Supabase Management API env vars (optional)."
Backup / Disaster Recovery,disaster-recovery,Do you have a documented disaster recovery process?,yes,"docs/DISASTER-RECOVERY.md covers 7 incident classes (single-lead deletion through full-project corruption), restore decision tree, Supabase workflow, dual-approval requirement for project-wide restores, and a quarterly dry-run checklist. Restores are NEVER executed from the product — operators file restore intents via the audit-only RestoreIntentCard and perform the actual restore through approved Supabase workflows."
Incident Response,incident-process,Do you have an incident response process?,yes,"Yes. Documented runbook (docs/INCIDENT-RESPONSE.md + docs/RUNBOOK.md + docs/DISASTER-RECOVERY.md) covers severity matrix (SEV1–SEV4), target first-response + update + mitigation times, detection sources, alert routing, customer notification posture, and post-incident review. First-class incident records live in public.incidents + public.incident_timeline_events with typed audit actions (incident_created / incident_updated / incident_resolved / incident_alert_sent)."
Incident Response,incident-detection,How are incidents detected?,partial,"Operator-triggered detection over existing signals: abuse_events (rate-limit blocks), sso_login_events (failed/blocked outcomes), backup_posture (warning/critical), and a health-flag stub. Detectors are CONSERVATIVE — thresholds in lib/enterprise/incidents/policy.ts default to a 60-minute observation window and double-digit row counts. Detectors return candidate incidents; the operator decides whether to materialise via `create=true` on the detect endpoint. No autonomous detection cron is mounted."
Incident Response,incident-customer-notification,Do you notify customers of security incidents?,manual,Customer notification for any security incident requires legal/operator review before sending. The policy in lib/enterprise/incidents/policy.ts defaults SEV1 to `required_legal_review` and SEV2 to `recommended_legal_review`. The product does NOT send customer-facing notifications automatically; outreach happens through the operator's existing communication channels after legal review.
Incident Response,incident-postmortem,Do you perform post-incident reviews?,partial,Yes. Post-incident review is REQUIRED for SEV1 + SEV2 by policy (lib/enterprise/incidents/policy.ts → POSTMORTEM_REQUIRED_AT_OR_ABOVE). The /api/admin/security/incidents/[id] PATCH accepts a `postmortem` field that appends a timeline event with kind `postmortem_added`. A static PIR markdown template ships under scripts/build-incident-response-pack.mjs for off-line use. Completion is operator-tracked; no automated reminder cron is mounted yet.
Incident Response,monitoring-24x7,Do you have 24/7 monitoring?,no,"VenueRise does NOT currently staff a 24/7 on-call rotation and does NOT offer an uptime SLA contract. Detection is operator-triggered against persistent signal sources (abuse, audit, SSO, backup); env-gated alert routing to Slack / PagerDuty / Sentry exists, but escalation timing depends on whether the operator has wired a paging vendor and configured the rotation. Customers requiring 24/7 staffed monitoring should treat this as a gap in the readiness checklist."
Incident Response,restore-intent-audit,Is operator intent to restore data audited even when the product does not execute the restore?,yes,Yes. Operators file restore intents via the audit-only RestoreIntentCard; the row lands in audit_events with action restore_intent_recorded + restore_executed_by_product:false. The product UI never executes a restore.
Vendor / Infrastructure,hosting,Where is the product hosted?,yes,"Next.js application on Vercel (US region by default). Database + auth on Supabase (Postgres, US region by default). Rate-limit cache on Upstash Redis. Error tracking on Sentry."
Vendor / Infrastructure,use-subprocessors,Do you use subprocessors?,yes,Yes. A subprocessor disclosure is maintained inside the platform; vendor names + categories + buyer-safe descriptions are versioned in code (lib/enterprise/vendor-risk/vendor-registry.ts). The buyer-facing disclosure can be exported as markdown or CSV via the admin SubprocessorDisclosureCard.
