id,name,category,criticality,disclosure_status,production_use,risk_tier,assurance_status,data_categories,review_owner,review_cadence,last_reviewed_at,known_limitation_count,evidence_reference_count,buyer_safe_description
supabase,Supabase,"Database, auth, storage, realtime",critical,public,true,high,manual_review_required,account_data|lead_data|message_content|authentication_data|audit_metadata|billing_data,platform,annually + on plan change,,2,9,"Hosts the application database, user authentication, and file storage. Data is encrypted at rest (AES-256) and in transit (TLS). Access is RLS-gated; service-role credentials are used only by trusted server code."
anthropic,Anthropic,AI model provider,critical,public,true,high,manual_review_required,lead_data|message_content,security,annually + on contract change,,2,5,Generates draft replies + lead qualification signals. Lead inquiry text and conversation context are sent to the Anthropic API for inference; outputs return as drafts that require explicit operator approval before sending (no autonomous send path).
stripe,Stripe,Billing + subscriptions,critical,public,true,high,manual_review_required,billing_data|account_data,finance,annually,,1,5,Processes subscription payments. Card data is captured directly by Stripe and never reaches VenueRise systems; only Stripe customer/subscription/invoice ids and metadata are stored.
resend,Resend,Transactional email delivery,important,public,true,medium,manual_review_required,email_metadata|message_content|lead_data,platform,annually,,1,5,Sends outbound email. Recipient addresses and message bodies are transmitted to Resend for delivery; bounce/complaint signals feed back into the in-app suppression list.
upstash,Upstash,Rate-limit cache (Redis-compatible),important,public,true,low,manual_review_required,usage_metadata,platform,annually,,1,6,Stores short-lived rate-limit counters. Holds a salted-SHA-256 IP fingerprint and per-route bucket counts; no customer payload data is stored.
inngest,Inngest,Background jobs + scheduled tasks,important,public,true,medium,manual_review_required,usage_metadata|audit_metadata,platform,annually,,1,5,"Coordinates background jobs. Event payloads include lead/tour identifiers and job metadata; job results are written back to the application database. Customer message content is fetched server-side per job, not stored at the orchestrator."
deployment-host,Vercel,Hosting + serverless runtime,critical,public,true,high,manual_review_required,infrastructure_logs|usage_metadata,platform,annually + on deploy provider change,,2,2,"Runs the application servers and serves the marketing site + dashboard + widget. Request logs (method, path, status, latency) are retained at the platform layer; request bodies are not."
sentry,Sentry,Error monitoring,important,public,true,medium,manual_review_required,infrastructure_logs|audit_metadata,platform,annually,,1,4,"Receives error telemetry. Event payloads include stack traces, route identifiers, and a salted-SHA-256 IP fingerprint; raw IPs and customer message content are not sent."
slack,Slack,Incident alert routing (optional),optional,admin_only,false,low,manual_review_required,audit_metadata,platform,annually + on enablement,,1,4,"Optional incident alert channel. Used only when the operator has enabled alert routing. Receives incident metadata (id, title, severity, category) for operator triage."
pagerduty,PagerDuty,Incident alert routing (optional),optional,admin_only,false,low,manual_review_required,audit_metadata,platform,annually + on enablement,,2,4,Optional incident escalation channel. Used only when the operator has enabled alert routing and configured a PagerDuty routing key. Receives incident metadata for on-call paging.
stripe-cli,Stripe CLI,Local development webhook forwarder,development_only,internal_only,false,low,not_applicable,billing_data,platform,on tooling change,,0,1,Local development tool only; not part of the production runtime.
