category,default_window,reason,deletion_behavior,export_behavior,automation_status,exception_count
account_identity,For the lifetime of the subscription + 30-day grace after cancellation.,Tenant operator continuity + reactivation window.,Operator-initiated via Supabase auth + cascading venue_members removal. DSR workflow tracks the request.,Operator export via /api/admin/data-export (Phase 9D) returns venue-scoped JSON.,manual,1
venue_profile,For the lifetime of the tenant.,Required to operate the tenant dashboard.,Removed when the tenant is deleted; demo-mode flag is a visual marker only and does NOT anonymize.,Included in operator data export.,manual,0
lead_contact,90 days after the lead is marked lost (reactivation window) by default; operator-configurable in a future phase.,Operational lead pipeline + reactivation analytics.,Lead-level soft redaction via /api/admin/leads/[leadId]/redact-pii (Phase 9D). Anonymizes name/email/phone/notes while preserving conversations/tours/audit lineage.,Included in operator data export.,partial,2
lead_event_details,Mirrors lead_contact.,Operational analytics + RevenueOS leakage signals.,Cascades with lead redaction.,Included in operator data export.,partial,0
conversation_content,Mirrors lead_contact.,Operator review + AI calibration history.,Lead-level redaction does NOT remove conversation bodies today. Conversation-level redaction is on the planned-improvements list.,Included in operator data export.,partial,1
tour_scheduling,Mirrors lead retention; tokens auto-expire.,Operational calendar.,Cascades with lead deletion. Tour-action tokens are single-use and auto-expire.,Included in operator data export.,partial,0
billing_metadata,For the lifetime of the subscription + applicable financial/tax retention requirements (multi-year typical).,Billing reconciliation + statutory financial retention.,Not deleted from VenueRise during normal lifecycle. Stripe retains its own customer + invoice records per Stripe policy.,Billing-events export is admin-readable; raw invoice PDFs are downloaded from Stripe directly.,manual,1
auth_security_metadata,For the duration of the active session / invitation. Tokens are single-use or short-lived.,Security access control.,Sessions expire automatically; SSO connections are deleted via owner-only mutation.,NOT exported. Returning live session/SSO tokens would itself be a security incident.,implemented,0
audit_metadata,365 days target. No automated sweeper today; rows currently accumulate.,Security investigation + tamper evidence.,Deletion is restricted. Audit rows may be required for legal/security review. Operator + legal review on a per-request basis.,Not directly exportable via DSR. Aggregate audit export is admin-readable via /api/admin/audit-events.,manual,2
abuse_security_metadata,365 days target.,Detect repeat abusive patterns.,Deletion is restricted. Operator + legal review per request.,NOT exportable to subjects; admin-readable for ops.,manual,1
sso_security_metadata,365 days target.,SSO failure pattern analysis.,Deletion is restricted. Operator + legal review per request.,NOT exportable to subjects; admin-readable for ops.,manual,0
incident_metadata,365 days target.,Security + availability incident history; post-incident review evidence.,Restricted. Incident records may be required for security / compliance audits.,NOT exportable to subjects; admin-readable.,manual,0
vendor_metadata,For the lifetime of the vendor relationship.,Subprocessor disclosure + procurement readiness.,Operator removes a vendor row when the relationship ends.,Exportable via /api/admin/security/vendor-risk-report (admin) + /api/admin/security/subprocessor-disclosure (buyer-safe).,manual,0
support_metadata,"Suppressions retained as long as needed to honor opt-out. Digest send rows: 365-day target, with the Phase 8AA retention sweeper pruning archived rows.",Honor opt-out commitments + operator visibility into recent digests.,Suppressions only removed when the operator explicitly resubscribes (Phase 8AA). Digest rows pruned by the existing weekly sweeper.,Admin-readable via digest preferences/sends APIs.,implemented,0
system_logs,Vendor-governed. Application pino logs are stream-only (not persisted by VenueRise).,Operational debugging + error triage.,Sentry + Vercel retention is set in the vendor dashboard. Application pino logs disappear with the runtime.,Sentry events are exportable from the Sentry dashboard. Vercel logs from the Vercel dashboard.,partial,0
